"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc"
"0736008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,49,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$75,001 TO $100,000",87500.5,0,0,62.117
"0736012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,48,"BACHELOR'S DEGREE","NOT APPLICABLE",0,NA,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,55.85
"0736013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,37.532
"0736016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,32,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$20,001 TO $25,000",22500.5,0,0,49.992
"0737001C",1,"ASIAN",0,0,0,1,2,41,39,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,55.896
"0737002C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,53.5,NA,"$50,001 TO $75,000",62500.5,0,0,52.149
"0737003C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,50,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$200,001 TO $200,001",200001,0,0,45.515
"0737004C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,39,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,NA,64.89,"$75,001 TO $100,000",87500.5,0,0,52.8
"0737005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,49.214
"0737006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,52.877
"0737008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,63.43,39.2,"$50,001 TO $75,000",62500.5,0,0,58.441
"0737009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,36,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,56.897
"0737011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,47,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$50,001 TO $75,000",62500.5,0,0,66.498
"0737012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,44,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,34.95,"$30,001 TO $35,000",32500.5,0,0,61.614
"0737013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,64.385
"0737015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,48.69,"$75,001 TO $100,000",87500.5,0,0,56.776
"0737016C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,41,39,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,59,62.87,"$50,001 TO $75,000",62500.5,0,0,51.144
"0737018C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,63.43,37.67,"$50,001 TO $75,000",62500.5,0,0,51.065
"0737019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,57.83,NA,"$25,001 TO $30,000",27500.5,0,0,50.539
"0737020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,"NOT APPLICABLE","MASTER'S DEGREE (MA, MS)",NA,0,53.5,NA,"$75,001 TO $100,000",87500.5,0,0,61.122
"0737021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,33,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,48.69,"$100,001 TO $200,000",150000.5,0,0,44.877
"0737022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,36,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,61.56,53.5,"$100,001 TO $200,000",150000.5,0,0,55.544
"0737023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,34,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,53.5,"$75,001 TO $100,000",87500.5,0,0,57.021
"0737024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,51.859
"0739002C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,34,36,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,39.2,"$40,001 TO $50,000",45000.5,0,0,57.34
"0739003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,35.754
"0739004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,38,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,57.83,35.92,"$75,001 TO $100,000",87500.5,0,0,50.641
"0739005C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.703
"0739008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,27,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,53.5,"$25,001 TO $30,000",27500.5,0,1,40.838
"0739009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.837
"0739010C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,46,42,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$35,001 TO $40,000",37500.5,0,0,42.142
"0739015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"9TH - 12TH GRADE","SOME COLLEGE",1,0,33.42,33.42,"$25,001 TO $30,000",27500.5,0,0,51.738
"0739016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,35,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,48.69,48.69,"$20,001 TO $25,000",22500.5,0,0,42.301
"0739017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$100,001 TO $200,000",150000.5,0,0,53.023
"0739020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,61.086
"0739021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,38,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,33.42,"$50,001 TO $75,000",62500.5,0,0,55.902
"0739022C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.225
"0739023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,33.42,NA,"$75,001 TO $100,000",87500.5,0,0,51.044
"0739024C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,41,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,000 TO $5,000",5000,1,1,48.202
"0739027C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$100,001 TO $200,000",150000.5,0,0,49.75
"0740001C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.481
"0740003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,31,40,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,33.42,35.63,"$25,001 TO $30,000",27500.5,0,0,34.484
"0740004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,35,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,35.92,"$75,001 TO $100,000",87500.5,0,0,49.686
"0740005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,48.69,"$25,001 TO $30,000",27500.5,0,0,51.081
"0740006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,57.83,35.92,"$25,001 TO $30,000",27500.5,0,0,50.153
"0740007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,33.42,"$50,001 TO $75,000",62500.5,0,0,44.309
"0740008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,45,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$5,000 TO $5,000",5000,1,1,38.817
"0740009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,61.527
"0740010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,36,"9TH - 12TH GRADE","BACHELOR'S DEGREE",1,0,59,39.2,"$40,001 TO $50,000",45000.5,0,0,48.355
"0740011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,33.42,39.2,"$20,001 TO $25,000",22500.5,1,0,45.624
"0740012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,46,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.2,"$35,001 TO $40,000",37500.5,0,0,47.362
"0740013C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.437
"0740014C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.294
"0740017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,57.83,39.2,"$25,001 TO $30,000",27500.5,0,0,64.825
"0740018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.18,"$10,001 TO $15,000",12500.5,1,0,51.092
"0740019C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.118
"0740021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,37,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,47.681
"0740024C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.051
"0743003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,49,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,72.1,63.43,"$50,001 TO $75,000",62500.5,0,0,56.234
"0743005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"SOME COLLEGE","SOME COLLEGE",0,0,NA,35.92,"$25,001 TO $30,000",27500.5,0,0,57.185
"0743006C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.48
"0743007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,50,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,33.42,NA,"$15,001 TO $20,000",17500.5,0,0,50.042
"0743008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,53.5,35.63,"$50,001 TO $75,000",62500.5,0,0,48.58
"0743010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,53.5,39.2,"$40,001 TO $50,000",45000.5,0,0,60.878
"0743011C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,63.43,NA,"$15,001 TO $20,000",17500.5,0,1,48.653
"0743012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,52,48,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,34.95,"$15,001 TO $20,000",17500.5,0,0,43.008
"0743013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.78,"$20,001 TO $25,000",22500.5,0,0,61.773
"0743014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.78,"$40,001 TO $50,000",45000.5,0,0,53.359
"0743018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,61.56,39.2,"$50,001 TO $75,000",62500.5,0,0,46.487
"0743019C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.174
"0743020C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.659
"0743021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,40,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,72.1,72.1,"$50,001 TO $75,000",62500.5,0,0,59.14
"0743022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,42,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,35.63,"$30,001 TO $35,000",32500.5,0,0,49.035
"0743023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,61.56,61.56,"$75,001 TO $100,000",87500.5,0,0,57.273
"0743024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,56.119
"0745002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,50,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.63,"$75,001 TO $100,000",87500.5,0,0,60.94
"0745003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,57.83,35.63,"$30,001 TO $35,000",32500.5,0,0,42.296
"0745005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,38.708
"0745007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","8TH GRADE OR BELOW",1,1,33.42,35.63,"$10,001 TO $15,000",12500.5,1,0,45.409
"0745008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,48,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,35.92,"$75,001 TO $100,000",87500.5,0,0,47.493
"0745010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,44,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,29.6,"$35,001 TO $40,000",37500.5,0,0,47.261
"0745011C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,29,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,35.63,"$10,001 TO $15,000",12500.5,1,0,52.55
"0745014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$20,001 TO $25,000",22500.5,0,0,44.337
"0745016C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.84
"0745017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,63.43,"$25,001 TO $30,000",27500.5,0,0,44.551
"0745018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,57.83,35.92,"$40,001 TO $50,000",45000.5,0,1,55.235
"0745019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,54,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,35.92,"$75,001 TO $100,000",87500.5,0,0,49.596
"0745020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,33.42,"$40,001 TO $50,000",45000.5,0,0,54.911
"0745021C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,28,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$20,001 TO $25,000",22500.5,0,0,37.415
"0745022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$10,001 TO $15,000",12500.5,1,0,50.197
"0745023C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,27,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,33.42,"$10,001 TO $15,000",12500.5,1,0,45.745
"0746001C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.352
"0746002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.2,"$75,001 TO $100,000",87500.5,0,0,55.452
"0746003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,44,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.78,"$50,001 TO $75,000",62500.5,0,0,54.104
"0746004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,29.6,39.18,"$15,001 TO $20,000",17500.5,1,1,49.613
"0746005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,48,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,72.1,"$75,001 TO $100,000",87500.5,0,0,59.795
"0746006C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.148
"0746007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,24,32,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,33.42,"$35,001 TO $40,000",37500.5,0,0,50.762
"0746008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,29.6,"$30,001 TO $35,000",32500.5,0,0,52.227
"0746009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,27,33,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,NA,39.2,"$35,001 TO $40,000",37500.5,0,0,41.873
"0746010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,53.5,48.69,"$40,001 TO $50,000",45000.5,0,0,50.522
"0746011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,22,62,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.63,"$10,001 TO $15,000",12500.5,1,0,57.997
"0746012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"SOME COLLEGE","SOME COLLEGE",0,0,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,37.903
"0746013C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.303
"0746015C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,27,30,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,35.63,"$5,001 TO $10,000",7500.5,1,1,58.162
"0746016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,"SOME COLLEGE","SOME COLLEGE",0,0,NA,NA,"$15,001 TO $20,000",17500.5,1,0,18.6
"0746017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,33,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,33.42,"$40,001 TO $50,000",45000.5,0,0,56.593
"0746019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,69.581
"0746020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,53.197
"0746022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,45,41,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,NA,64.89,"$100,001 TO $200,000",150000.5,0,0,70.124
"0746023C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,30,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$35,001 TO $40,000",37500.5,0,0,62.288
"0746024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,52.665
"0748001C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,27,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,53.263
"0748002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,30,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,52.771
"0748003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$10,001 TO $15,000",12500.5,1,1,53.562
"0748004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,55.967
"0748005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,48,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,38.18,38.18,"$20,001 TO $25,000",22500.5,1,0,48.384
"0748006C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.717
"0748007C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,43,50,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,53.466
"0748008C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,32,NA,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,38.491
"0748009C",0,"WHITE, NON-HISPANIC",1,0,0,0,3,35,36,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,38.18,29.6,"$20,001 TO $25,000",22500.5,0,0,44.971
"0748011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,43,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,48.234
"0748012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,43,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,63.43,39.18,"$75,001 TO $100,000",87500.5,0,0,62.1
"0748013C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,43,50,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,51.544
"0748014C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,43,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$5,001 TO $10,000",7500.5,1,1,32.802
"0748015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,33,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,33.42,33.42,"$10,001 TO $15,000",12500.5,1,0,53.747
"0748016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,34.95,35.78,"$50,001 TO $75,000",62500.5,0,0,36.161
"0748017C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,29,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,34.95,NA,"$25,001 TO $30,000",27500.5,0,0,53.687
"0748018C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.771
